model,rmse_train,rmse_test,dynamic_params
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D4F30>,4.932509422302246,7.291372776031494,"{'conn_add_prob': 0.6, 'conn_delete_prob': 0.1, 'weight_mutate_rate': 0.8, 'node_add_prob': 0.1, 'node_delete_prob': 0.01}"
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D7930>,8.698241233825684,13.993701934814453,"{'conn_add_prob': 0.6, 'conn_delete_prob': 0.2, 'weight_mutate_rate': 0.8, 'node_add_prob': 0.1, 'node_delete_prob': 0.01}"
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D73F0>,2.9879021644592285,2.4708762168884277,"{'conn_add_prob': 0.5, 'conn_delete_prob': 0.1, 'weight_mutate_rate': 0.7, 'node_add_prob': 0.1, 'node_delete_prob': 0.05}"
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D52B0>,7.763077259063721,6.278501510620117,"{'conn_add_prob': 0.6, 'conn_delete_prob': 0.2, 'weight_mutate_rate': 0.8, 'node_add_prob': 0.05, 'node_delete_prob': 0.05}"
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D7E70>,5.982255458831787,4.351530075073242,"{'conn_add_prob': 0.6, 'conn_delete_prob': 0.2, 'weight_mutate_rate': 0.7, 'node_add_prob': 0.05, 'node_delete_prob': 0.05}"
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D43D0>,6.0354228019714355,7.8628315925598145,"{'conn_add_prob': 0.5, 'conn_delete_prob': 0.2, 'weight_mutate_rate': 0.7, 'node_add_prob': 0.1, 'node_delete_prob': 0.01}"
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D74D0>,6.1664347648620605,7.76033878326416,"{'conn_add_prob': 0.6, 'conn_delete_prob': 0.2, 'weight_mutate_rate': 0.8, 'node_add_prob': 0.05, 'node_delete_prob': 0.05}"
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D6970>,13.7894926071167,16.241085052490234,"{'conn_add_prob': 0.6, 'conn_delete_prob': 0.2, 'weight_mutate_rate': 0.8, 'node_add_prob': 0.05, 'node_delete_prob': 0.01}"
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D4130>,7.113889217376709,3.7926032543182373,"{'conn_add_prob': 0.5, 'conn_delete_prob': 0.1, 'weight_mutate_rate': 0.7, 'node_add_prob': 0.1, 'node_delete_prob': 0.01}"
<utils.NEAT_utils.NEATWrapper object at 0x000001D48F5D6B30>,10.300817489624023,11.719775199890137,"{'conn_add_prob': 0.6, 'conn_delete_prob': 0.1, 'weight_mutate_rate': 0.7, 'node_add_prob': 0.05, 'node_delete_prob': 0.05}"
