model,rmse_train,rmse_test,dynamic_params
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB61DFCAA0>,17.9068603515625,22.795528411865234,"{'max_depth': 15, 'tournament_size': 7, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB61928C00>,18.164905548095703,19.20290184020996,"{'max_depth': 15, 'tournament_size': 5, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB61DFF6A0>,18.567197799682617,16.68274688720703,"{'max_depth': 15, 'tournament_size': 5, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB61A48E10>,18.446863174438477,17.093231201171875,"{'max_depth': 15, 'tournament_size': 5, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB61D88310>,18.815507888793945,15.253643035888672,"{'max_depth': 15, 'tournament_size': 7, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB6192BCD0>,18.513261795043945,28.550580978393555,"{'max_depth': 15, 'tournament_size': 7, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB61D89180>,18.217592239379883,21.314300537109375,"{'max_depth': 15, 'tournament_size': 7, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB61A4BE30>,18.446529388427734,17.8371639251709,"{'max_depth': 15, 'tournament_size': 5, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB61929E90>,18.26570701599121,17.9744873046875,"{'max_depth': 15, 'tournament_size': 7, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
<slim_gsgp.algorithms.SLIM_GSGP.representations.individual.Individual object at 0x000001EB61A48C00>,18.14853858947754,20.78775978088379,"{'max_depth': 15, 'tournament_size': 5, 'prob_const': 0.1, 'slim_version': 'SLIM+SIG2'}"
